mechanism,npv_mean_eur,npv_p5_eur,npv_p50_eur,npv_p95_eur,irr_mean,irr_p5,irr_p50,irr_p95,irr_solvable_fraction
fixed_ppa,465892414.6062778,72735615.51240698,429540890.52494574,986025700.3929527,0.0928466412373524,0.0758368809790428,0.09332256062787332,0.10868151648463717,1.0
two_sided_cfd,-356950110.0053299,-2454599109.30423,-504289734.7250079,2264410700.940714,0.0924294885259513,0.022155571378762253,0.09309223573796035,0.17818414044802075,0.699
multi_criteria,708534473.5512623,708534473.5512624,708534473.5512624,708534473.5512624,0.10420766510973213,0.10420766510973214,0.10420766510973214,0.10420766510973214,1.0
