npv_eur,irr
-1280227608.216508,
645999856.4343653,0.10391809975486956
-1743383314.6055996,
-2449410383.071582,
-302486358.30685663,0.05321754575090297
-1650980050.43622,0.10011
1534441752.1103272,0.14670770011262224
-292386422.587094,0.05450081669447706
-728810401.1797466,0.03889063026434808
254151753.7122363,0.08737139626250245
1875484712.0794148,0.12913083997127317
-684727046.266269,0.03116769727761376
761737435.0421946,0.10042808062402457
-1410684222.7716026,0.10011000046443516
-2414427606.5455256,
1361864775.3793132,0.14662137968285427
437461321.23738486,0.09854511265161152
-234592493.4717257,0.06153661695669369
-1866211878.5421746,
-2161042328.3209767,
-925889764.2052572,
601867787.4770801,0.10597140917770854
-1536586346.0153122,
-2624970328.23269,
-1444408312.1064913,0.10011
2412931923.171503,0.14384788252018377
123085106.71778694,0.07773619723511276
-2473165226.562565,
3035110532.1865005,0.20924945855631788
-2766527215.7780075,
644401544.3647048,0.10023779795855428
1805259699.6641555,0.1517708989737962
-1375222957.8329537,
3052050958.3998556,0.21109381771000055
-489012983.46677864,0.04548258693863437
443398549.41390145,0.08765146098834936
-149142703.35197663,0.06508400971275553
-584865345.6064929,0.022743535448070357
-806574893.3317859,0.031952867777822296
-1893262762.6872706,
-1797787547.1682973,
-1013489405.9338844,0.026242678257269666
1212269821.968803,0.12388568986833809
-2735001334.223502,
-979606300.4146137,0.041544029673958156
-412256119.36153287,0.048768291324725
-2166877030.1039343,
2387707947.635124,0.1596768203981329
1265747279.6358418,0.10888697830321666
-513494782.5459454,0.030948433093335996
-1235356194.0039878,0.10011
-68313298.97333275,0.06302906014561721
-3140826160.0862055,
-929745783.473834,0.03611964259857033
705614168.0837375,0.11697846805322382
-322484257.9492939,0.05188074267329184
-2556051760.4339085,
-2513973330.8130674,
-676710105.0563548,-0.07319236471849339
-956327087.8527356,
-1528223460.2658176,0.10011
-792329647.4493847,
528213669.29632175,0.10045799257795734
-2502111648.8104067,
-2930342473.95403,
-2868822234.8746576,
-1345570508.4443214,
226434422.0214807,0.0853541337118643
654492901.7554579,0.10605349172688198
-2100999215.3093543,
-1163913602.1399217,0.030947556496638273
1436184129.114399,0.13571587854395298
-196470974.41886702,0.0565280764511507
-1734301410.5276322,0.10011
-1585518791.2089438,
-2435991144.072544,
3334143408.5793447,0.18774057309288147
2264141230.153991,0.16470034286507979
-53068633.56606596,0.0681778804869969
-2862307822.939457,
-1858488525.9967809,
-1169527811.1732175,0.02583814883343184
-2091648619.186668,
2082209025.8877313,0.13239542810887195
1119420264.1486273,0.11696742357967987
249380457.52169248,0.07644289413193518
1275485797.967951,0.11730049763310899
-1385612554.042799,
-734983181.6491224,
823069080.7579305,0.12384111927355979
-825262147.259899,
-950245785.5963221,0.03201560115519044
-141016968.64322007,0.06590761398477411
138494638.05022836,0.08185311722024274
549916922.7963858,0.0868111109261355
551132465.9838365,0.11279357772895036
535741474.977556,0.11445266061220884
640128741.138329,0.10467329614847377
1594533841.1767206,0.1640372683843272
1043056654.5989645,0.10464898525223391
630466121.3359878,0.11075686861547121
-274285338.505034,0.05386182575261712
1841907518.2417703,0.17611642180890458
1677675171.3740993,0.13578163277235225
1434716499.031454,0.1221715549674001
-1112805761.527269,0.011683533747146207
-2416578220.2857313,
319637188.22345436,0.08665157864758664
-280299099.9862811,0.04786180368410394
-1191594920.7409506,0.10011001282777952
4204705216.287268,0.229933331841056
-2431998711.0369987,
-2456485517.5966287,
-2456485517.5966287,
2269530645.888451,0.14756408779813582
205401740.14836085,0.08140530798065118
2339153907.300638,0.15664302529686777
-1045566941.2125651,0.013605321257660587
-37728557.20721011,0.06798684721655893
585942336.0357087,0.09314887891721628
1642047225.1101532,0.16041111722261045
10504036.57870327,0.07044698311401745
-1825668324.8059492,
-2581995289.5322943,
2256546132.0947866,0.16026542375317265
-1172075815.3679698,0.026677642791024723
-1155393675.4397707,
277748565.71912605,0.08047036874502517
-1346256867.3515751,0.10011
-2549075887.1304836,
-1737023101.8296378,
1352936647.1988578,0.12374215663415784
-214269689.63961676,0.049746442982646875
-367697894.6191836,0.0600525749224174
-2429610605.306836,
570273344.6061573,0.1090706430529761
406128388.4595202,0.09459195832505854
-451886494.4089894,0.03454036055495058
1289684263.2386231,0.15347246283706428
-186977971.0912675,0.061388853661682466
2111713871.242797,0.12321783207020948
1317584035.2743967,0.14657727751881794
-348710836.5042709,0.04034120900876413
-1091438431.4220395,0.020885705548597828
-1651671722.0891652,0.10011
-2153915242.834356,
426611383.49820316,0.10839055400746893
705725233.2643709,0.11022912634033906
-1558748210.9171185,0.10011000005350967
817455767.5794816,0.11148004571325841
-1282554479.498154,
23961678.73112382,0.0715277558800663
-363519457.8727907,0.053504046453381394
2856203210.8729906,0.18125716305200548
-1391710526.871321,
-636319319.9208559,0.04598952948637151
-957628711.646287,0.016227555377082276
-976343955.3211019,0.10011000000001172
-836175969.7971548,0.04188026753126298
-2421374330.8363514,
-573839527.8417368,-0.04831006068917548
-2430232867.0349474,
-1739766060.840632,
-1689641449.296729,0.10011
473696985.8097365,0.08889744724889462
-1512680891.189784,
-1143863940.5235972,0.10011
-1933086919.5423455,
-1235759003.703353,
547059001.1830342,0.0979892117560385
842573315.6738153,0.10478490700792702
-2287790063.0640297,
-153456344.75868642,0.06489517810683222
-283705189.5114434,0.26819254461142267
498118179.3278403,0.091432280276954
991915080.5269078,0.14018371600442095
175377181.99712542,0.0745797966872644
-518167083.86816114,0.05434911598454491
-1264785973.6074176,
341897658.54991883,0.08882253799378512
-794279099.4836147,0.03256811476947939
-2407991314.881627,
-158110941.9156847,0.06354621994460619
-2456485517.5966287,
-653646437.5109624,0.0217019981207414
320301261.9487536,0.08530778455381612
435514983.28414094,0.08940162682103399
492445641.0882706,0.09602923155856849
-2259506687.9103446,
-778747663.0205641,0.044382901454720805
405333402.46482193,0.0883699070450938
-1305952227.1604054,
3582045243.488633,0.2031883103151322
835743303.4378691,0.11192960517535
-1497788888.5856676,0.10011
1793997721.260201,0.13419336733270582
4196097866.9210625,0.1794242535068818
1694309627.7249153,0.15424984464124925
-1848152666.2893758,
-1075180469.9447112,0.10011
-2087115556.9296074,
1331407823.3622398,0.14458604892795535
-934168629.0717666,
-311247758.28267294,0.058652441410470664
1898429738.7847056,0.16688965520988286
-1279446449.8726826,
-1211755842.737227,
1030253963.4527488,0.11603271969229301
1732931791.1208937,0.155026720093757
1144389656.8384302,0.11991094416431021
1058494658.4417045,0.11023918588568091
-1051290706.842443,0.02711472260117817
1535318640.874958,0.1472285858902609
-1105518513.4693496,
540825824.310329,0.08366953550972432
1121906001.7524648,0.113415217978147
-72052550.49436271,0.0677857274780251
-733290001.0519357,0.04613681705042182
-1741797530.5288846,
-909464042.0332034,0.022199335275073534
-213266742.1627313,0.05680117886721787
-2174332391.9827604,
-283577441.39910585,0.03473637840049542
-1831212938.3720708,
40032471.29750231,0.07214319391646554
1049992426.7364943,0.10573869102153749
-881726658.4901464,0.02736004639403899
-1577305476.5377927,
707181837.1655676,0.1019358880120905
-1901256128.4814377,
-727958303.5432699,
169274954.27460313,0.07456190196796775
1361996441.5059073,0.11896326903969082
-1801014565.6908607,
1688075072.5092883,0.14294952937941566
3665068807.4620285,0.20659777383364722
819382669.6999576,0.12435190587718463
-1750683548.5201626,
923150098.4333928,0.09735865225273216
155226908.37324232,0.07890912992238285
-389310223.56482035,
-127940675.27746238,0.06065993395583967
1864745436.8111963,0.14956711791661176
-1056065466.5547087,
1572110216.7658105,0.11959340304840017
-1676542795.2295387,
-1733777204.9149234,
-2073886784.6908293,
-1409745323.9268444,0.10011
-1551317175.3842814,
-2473378896.045001,
47524042.79842752,0.07178900583092625
-1766357397.4792123,0.10011
-1785496839.5219169,
-1200279061.8752298,0.10011
-2084876778.744266,
-2046343618.268402,
-627363638.7922024,0.018161647628936448
-2987257831.1192946,
128555506.17169134,0.07980145608991321
-1163706234.1047587,0.10011000039666318
2155087958.658172,0.1986381205195037
-2205521925.534082,
-1082597829.116273,
-1861654860.4392424,
-940249799.4722365,0.036085436892605204
-1480283156.902986,0.10011000007414664
-137221473.95386386,0.06542921538704406
-409127768.8825101,0.05795075775489086
2713639706.5230513,0.16426852898085986
-1180235173.8203642,
-570490553.0583997,0.04822132973199645
-589751915.4923891,0.26229240597236947
-338281267.75642043,0.3083019915619638
-1633777457.7885113,
-571769058.3723537,0.049734699845974846
-289626670.83106345,0.051346322381190586
-712448453.4588397,0.048557774106585364
-1865113023.3530622,
3922261.2561716437,0.07020878674390994
667859186.414511,0.09589007554594842
1054598351.0969746,0.10258956366863065
-1540418952.2053814,0.10011000000722206
1734417504.468924,0.1727417463241952
1126025001.165754,0.09950451743358452
-136963781.44699576,0.056403476233192446
-2358667512.500773,
-52628270.48786114,0.06723402549289974
-612607653.2899822,
386599541.805742,0.09210871470836572
-1448169265.6468482,
-350782731.6028248,0.04406894448316013
720755889.9166121,0.12646199288685941
2838314542.511232,0.15432305582318784
-1207750094.48108,
76476043.74124727,0.07376487297029172
1095893437.4620128,0.10685300265400925
-859844132.6122255,0.02460629852851027
-1178153775.690528,
-2564906605.949781,
-684934934.654499,0.04055563113849477
3415933268.4380207,0.21034220956018077
829856089.6914203,0.14278019341492673
-1961554142.2142315,
-2456485517.5966287,
1032568730.519551,0.10123732654027495
-1849790450.9536767,
-582889682.2440416,0.018595768914900068
-499011780.2009784,0.04696524766574352
-2168963484.298147,
-2435117720.480955,
-2456485517.5966287,
489745601.9784198,0.08584401872484161
-230462035.86854312,0.031897302452409376
-2612039127.9044805,
2767257058.8339453,0.18312903765510563
-2195369486.114357,
-1538866788.5209813,
